“The Other Side” (excerpt), 1908, Alfred Kubin
“Egnaro,” 1981, M. John Harrison



“The Little Dirty Girl,” 1982, Joanna Russ



“The New Rays,” 1982, M. John Harrison



“The Discovery of Telenapota,” 1984, Premendra Mitra



“Soft,” 1984, F. Paul Wilson



“Bloodchild,” 1984, Octavia Butler



“In the Hills, the Cities,” 1984, Clive Barker



“Tainaron: Mail From Another City,” 1985, Leena Krohn



“Hogfoot Right and Bird-hands,” 1987, Garry Kilworth



“Shades,” 1987, Lucius Shepard



“The Function of Dream Sleep,” 1988, Harlan Ellison



“Worlds That Flourish,” 1988, Ben Okri



“The Boy in the Tree,” 1989, Elizabeth Hand



“Family,” 1989, Joyce Carol Oates



“His Mouth Will Taste of Wormwood,” 1990, Poppy Z. Brite



“The End of the Garden,” 1991, Michal Ajvaz



“The Dark,” 1991, Karen Joy Fowler



“Angels in Love,” 1991, Kathe Koja



“The Ice Man,” 1991, Haruki Murakami



“Replacements,” 1992, Lisa Tuttle



“The Diane Arbus Suicide Portfolio,” 1993, Marc Laidlaw



“The Country Doctor,” 1993, Steven Utley



“Last Rites and Resurrections,” 1994, Martin Simpson



“The Ocean and All Its Devices,” 1994, William Browning Spencer



“The Delicate,” 1994, Jeffrey Ford



“The Man in the Black Suit,” 1994, Stephen King



“The Snow Pavilion,” 1995, Angela Carter



“The Meat Garden,” 1996, Craig Padawer



“The Stiff and the Stile,” 1997, Stepan Chapman



“Yellow and Red,” 1998, Tanith Lee



“The Specialist’s Hat,” 1998, Kelly Link



“A Redress for Andromeda,” 2000, Caitlín R. Kiernan



“The God of Dark Laughter,” 2001, Michael Chabon



“Details,” 2002, China Miéville



“The Genius of Assassins,” 2002, Michael Cisco



“Feeders and Eaters,” 2002, Neil Gaiman



“The Cage,” 2002, Jeff VanderMeer



“The Beautiful Gelreesh,” 2003, Jeffrey Ford



“The Town Manager,” 2003, Thomas Ligotti



“The Brotherhood of Mutilation,” 2003, Brian Evenson



“The White Hands,” 2003, Mark Samuels



“Flat Diane,” 2004, Daniel Abraham



“Singing My Sister Down,” 2005, Margo Lanagan



“The People on the Island,” 2005, T.M. Wright



“The Forest,” 2007, Laird Barron



“The Hide,” 2007, Liz Williams



“Dust Enforcer,” 2008, Reza Negarestani



“The Familiars,” 2009, Micaela Morrissette



“In the Lion’s Den,” 2009, Steve Duffy



“Little Lambs,” 2009, Stephen Graham Jones



“The Portal,” 2010, J. Robert Lennon



“Saving the Gleeful Horse,” 2010, K.J. Bishop
